Brand,Title,Price,Product Link
Lenovo IdeaPad,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, 3 mon. Game Pass Laptop","₹47,390",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjEzMTA1ODQ0MzM2MjY6MTc1MzYxODMxNTpzcF9tdGY6MzAwNjIyODI2ODk3NTMyOjowOjo&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN%2Fdp%2FB0DP7BZ8FD%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bunder%2B50k%26qid%3D1753618315%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&sp_cr=ZAZ
Lenovo Smartchoice,"Lenovo Smartchoice LOQ 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/NVIDIA RTX 3050 6GB/Win 11/Non-MSO/3 Mon. Game Pass/Grey/2.4Kg), 83GS003NIN","₹67,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjEzMTA1ODQ0MzM2MjY6MTc1MzYxODMxNTpzcF9tdGY6MzAwMjYzNzYyMDM1MjMyOjowOjo&url=%2FLenovo-i5-12450HX-300Nits-Graphics-83GS003NIN%2Fdp%2FB0D49RN3X6%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bunder%2B50k%26qid%3D1753618315%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&sp_cr=ZAZ
Lenovo IdeaPad,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, 3 mon. Game Pass Laptop","₹47,390",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-13
Apple MacBook,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","₹59,990",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-14
ASUS Vivobook,"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ836WS","₹52,990",https://www.amazon.in/ASUS-Vivobook-i5-13420H-Keyboard-X1502VA-BQ836WS/dp/B0DTYKLHYC/ref=sr_1_15?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-15
Lenovo V15,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","₹33,391",https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_16?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-16
"HP 15,","HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","₹30,650",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_17?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-17
Samsung Galaxy,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","₹53,490",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D143SJ9R/ref=sr_1_18?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-18
ASUS Vivobook,"ASUS Vivobook 16, 16"" FHD+ (1920 x 1200),Intel Core i5-13420H Processor,(16GB RAM/512GB SSD/Win 11/M365 Basic (1Year)*/Backlit Keyboard/Office Home 2024/Silver/1.88 kg),X1605VA-MB1627WS","₹55,989",https://www.amazon.in/ASUS-Vivobook-i5-13420H-Processor-X1605VA-MB1627WS/dp/B0F5N4DT2F/ref=sr_1_19?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-19
HP Laptop,"HP Laptop 15, Enhanced by AI, AMD Ryzen 5 7535HS, 15.6-inch (39.6cm), FHD, 8GB DDR5, 512GB SSD, AMD Radeon Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.59kg), fc1004AU","₹41,990",https://www.amazon.in/HP-Enhanced-15-6-inch-Graphics-fc1004AU/dp/B0DGX82JJW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.iPCWIroxYjKxBxP18B97hLOdXO0DXuIaQPzaAAGePNzztc0pSZikNr2JynYOKNrJ47VGh_G7xHH7C7UxJdgHil1q6k8_-IxT-5rx6alzYB503MEE3SEiKRtH-ahkocb-kcwc8aXp5jfS9hySTRqOz7y26gYEjPmjrH0c97A5WEUvOFnIHfwablh14WObAdiZRUuN822vCvaHuER0NAs_WWjfw_RjDA-TbZrtIZISnEs.6C4lwH7dQMKXVbx1hSo0xFy5lQQWcawQOTr3DHKaI_4&dib_tag=se&keywords=laptop+under+50k&qid=1753618315&sr=8-20
